preferredLabel,altLabels,skillType
manage musical staff,"manage staff of music
coordinate duties of musical staff
manage music staff
direct musical staff
manage musical staff
staff of music",skill/competence
supervise correctional procedures,"oversee prison procedures
manage correctional procedures
monitor correctional procedures
manage prison procedures
monitor prison procedures
supervise correctional procedures
oversee correctional procedures",skill/competence
apply anti-oppressive practices,"apply non-oppressive practices
apply an anti-oppressive practice
make use of anti-oppressive practices
act in a non-oppressive way
identify oppression in societies and groups
apply anti-oppressive practices
apply anti-oppresive practice
use anti-oppressive practices
anti-oppressive practice
oppression in societies and groups
anti-oppresive practice",skill/competence
control compliance of railway vehicles regulations,"monitoring of compliance with railway vehicles regulations
monitoring of compliance with rolling stock regulations
checking compliance with rolling stock regulations
control compliance of regulations of rolling stock
inspection of compliance with rolling stock regulations
ensuring compliance with railway vehicles regulations
compliance controls of railway vehicles regulations
conduct controls of compliance of railway vehicles regulations
control compliance of railway vehicles regulations
control compliance of railway vehicle regulations
compliance of regulations of rolling stock",skill/competence
identify available services,"establish available services
identify available services
determine rehabilitation services
analyse rehabilitation services
establish rehabilitation services
determine available services
analyse available services
classify available services
classify rehabilitation services",skill/competence
perform toxicological studies,"perform toxicological studies
apply toxicological testing methods
perform toxicological tests
perform toxicological study
carry out toxicological studies
toxicological studies
toxicological testing methods
toxicological tests
toxicological study",skill/competence
ensure coquille uniformity,"making sure coquille is uniform
ensure coquille uniformity
ensure uniformity of coquille
ensuring coquille uniformity
checking that coquille is uniform
ensuring uniformity of coquille
ensuring coquille is uniform
ensure coquille is uniform
ensuring of coquille uniformity
make sure coquille is uniform
check that coquille is uniform
coquille uniformity
sure coquille is uniform
uniformity of coquille
coquille is uniform",skill/competence
Haskell,Haskell,knowledge
show initiative,"take the initiative
give impetus
be a driving force
demonstrate sense of initiative
initiate action
show sense of initiative
show active initiative",skill/competence
train staff to reduce food waste,"teach students food waste reduction practices
inform staff on food waste reduction practices
educate workers on food recycling methods
educate staff on food waste reduction",skill/competence
apply diplomatic principles,"utilise diplomacy principles
administer diplomacy principles
use diplomatic principles
implement diplomacy principles
apply diplomatic principles
utilise diplomatic principles
implement diplomatic principles
use diplomacy principles
administer diplomatic principles",skill/competence
lead police investigations,"supervise police investigations
manage police enquiries
supervise police enquiries
oversee police investigations
manage police investigations
lead police investigations
oversee police enquiries
police investigations
police enquiries",skill/competence
handle fish harvesting waste,"dispose of waste from fish harvesting
fish harvesting waste handling
handle fish harvesting waste
fish harvesting waste disposing
handling fish harvesting waste
dispose of fish harvesting waste
fish harvesting waste",skill/competence
develop energy saving concepts,"developing concepts for energy saving
developing energy saving concepts
develop energy saving concepts
develop concepts for energy saving
create concepts for energy saving
creating energy saving concepts
energy saving concepts creating
create energy saving concepts
creating concepts for energy saving
energy saving concepts developing
energy saving concepts
concepts for energy saving",skill/competence
